sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),undefined measure 1,undefined measure 2,undefined measure 3,undefined measure 4,undefined measure 5,undefined measure 6,undefined measure 7,undefined measure 8,target
4.8,3.1,1.6,0.2,5.3,2.5,4.8,3.8,5.9,3.9,1.4,2.6,setosa
5.4,3.4,1.5,0.4,5.0,1.0,5.2,4.8,4.9,4.3,3.3,5.5,setosa
5.2,4.1,1.5,0.1,6.4,2.4,7.5,3.9,4.6,5.4,3.1,4.7,setosa
5.5,4.2,1.4,0.2,6.9,4.5,4.5,3.6,4.4,5.1,2.4,4.0,setosa
4.9,3.1,1.5,0.2,5.7,3.0,4.6,3.2,5.1,5.4,1.6,5.3,setosa
5.0,3.2,1.2,0.2,4.9,0.9,7.2,4.3,4.1,5.7,1.3,4.1,setosa
5.5,3.5,1.3,0.2,5.0,0.6,4.7,4.6,5.1,4.4,2.9,4.1,setosa
4.9,3.6,1.4,0.1,6.5,4.9,6.1,3.7,5.3,6.8,2.4,4.8,setosa
4.4,3.0,1.3,0.2,6.5,2.6,3.3,4.7,5.1,4.8,2.1,5.9,setosa
5.1,3.4,1.5,0.2,6.3,1.8,5.0,2.5,4.8,4.6,5.0,5.7,setosa
5.0,3.5,1.3,0.3,5.1,2.3,3.0,3.7,5.1,5.7,2.9,4.8,setosa
4.5,2.3,1.3,0.3,6.0,0.7,3.8,3.7,5.0,3.0,4.6,4.9,setosa
4.4,3.2,1.3,0.2,5.9,4.6,6.3,3.3,4.6,4.2,2.3,5.1,setosa
5.0,3.5,1.6,0.6,6.0,2.2,5.1,5.4,5.7,6.2,3.3,3.7,setosa
5.1,3.8,1.9,0.4,6.7,4.5,4.8,3.7,4.7,3.2,2.9,5.0,setosa
4.8,3.0,1.4,0.3,6.0,2.8,4.2,3.5,5.2,6.4,0.7,4.0,setosa
5.1,3.8,1.6,0.2,6.5,4.6,4.9,3.8,3.8,6.8,4.8,4.8,setosa
4.6,3.2,1.4,0.2,5.9,3.0,5.6,2.4,5.5,4.7,2.8,4.4,setosa
5.3,3.7,1.5,0.2,6.1,3.8,6.5,3.3,5.5,5.4,3.9,4.9,setosa
5.0,3.3,1.4,0.2,6.4,3.7,1.8,4.4,4.9,6.4,2.0,4.7,setosa
7.0,3.2,4.7,1.4,4.3,3.5,4.1,3.4,5.1,4.6,2.8,2.4,versicolor
6.4,3.2,4.5,1.5,5.5,3.2,5.4,3.2,5.1,6.1,1.8,4.7,versicolor
6.9,3.1,4.9,1.5,5.3,2.4,5.1,4.7,4.6,4.4,4.6,5.0,versicolor
5.5,2.3,4.0,1.3,5.1,5.2,5.7,4.7,5.1,4.6,3.4,4.9,versicolor
6.5,2.8,4.6,1.5,5.5,1.5,5.5,4.1,4.5,4.2,3.4,4.5,versicolor
5.7,2.8,4.5,1.3,7.3,2.7,4.8,3.5,4.6,5.5,4.7,5.8,versicolor
6.3,3.3,4.7,1.6,4.9,2.7,4.5,3.6,5.4,6.4,4.5,4.8,versicolor
4.9,2.4,3.3,1.0,6.8,3.2,4.9,3.2,5.3,4.9,4.0,4.9,versicolor
6.6,2.9,4.6,1.3,4.1,2.1,6.7,3.1,4.6,3.7,1.1,5.3,versicolor
5.2,2.7,3.9,1.4,5.5,3.1,4.2,3.1,4.6,3.9,2.1,4.8,versicolor
5.0,2.0,3.5,1.0,6.0,2.5,5.1,3.4,4.6,5.6,1.7,3.9,versicolor
5.9,3.0,4.2,1.5,6.4,0.6,5.4,3.1,5.2,7.2,3.9,2.8,versicolor
6.0,2.2,4.0,1.0,6.5,2.7,7.2,2.7,4.5,5.6,3.2,4.2,versicolor
6.1,2.9,4.7,1.4,6.6,1.2,4.8,3.9,5.1,4.7,1.2,5.1,versicolor
5.6,2.9,3.6,1.3,5.4,0.4,6.4,3.9,5.2,6.0,2.7,4.3,versicolor
6.7,3.1,4.4,1.4,5.3,2.9,6.8,4.9,4.9,4.8,1.0,5.2,versicolor
5.6,3.0,4.5,1.5,6.7,3.4,5.1,3.3,5.3,4.7,2.9,4.7,versicolor
5.8,2.7,4.1,1.0,5.6,3.4,4.9,4.0,4.8,4.0,0.8,5.5,versicolor
6.2,2.2,4.5,1.5,4.5,3.5,4.8,4.0,4.8,6.7,3.7,4.4,versicolor
5.6,2.5,3.9,1.1,4.6,0.1,4.9,3.6,4.5,2.3,3.5,4.9,versicolor
5.9,3.2,4.8,1.8,4.9,0.9,6.3,4.3,5.3,6.0,5.5,4.9,versicolor
6.1,2.8,4.0,1.3,6.3,5.3,5.5,4.3,4.6,4.6,4.1,5.7,versicolor
6.3,2.5,4.9,1.5,5.9,1.3,5.5,4.0,5.1,4.7,2.4,3.3,versicolor
6.1,2.8,4.7,1.2,6.5,3.5,3.7,3.6,4.9,7.0,4.0,4.2,versicolor
6.4,2.9,4.3,1.3,5.4,1.8,3.9,3.5,4.4,4.3,1.1,5.2,versicolor
6.6,3.0,4.4,1.4,6.0,2.8,8.0,2.9,4.6,4.3,1.7,5.7,versicolor
6.8,2.8,4.8,1.4,6.4,1.9,5.0,3.2,5.5,5.0,3.4,4.8,versicolor
6.7,3.0,5.0,1.7,5.5,3.4,4.2,3.4,5.0,5.6,0.1,4.4,versicolor
6.0,2.9,4.5,1.5,6.3,2.9,7.0,3.0,4.5,4.6,2.9,5.1,versicolor
5.7,2.6,3.5,1.0,5.1,2.1,5.6,4.1,5.0,3.3,1.6,5.2,versicolor
5.5,2.4,3.8,1.1,5.4,1.3,5.9,4.6,4.8,4.1,3.1,4.3,versicolor
5.5,2.4,3.7,1.0,5.4,3.1,5.0,3.2,6.4,6.6,1.6,4.8,versicolor
5.8,2.7,3.9,1.2,4.6,1.1,4.8,4.0,5.0,5.2,3.5,5.4,versicolor
6.0,2.7,5.1,1.6,6.3,3.3,5.0,3.1,4.7,5.6,3.0,5.9,versicolor
5.4,3.0,4.5,1.5,5.3,6.2,3.4,3.6,5.5,4.8,4.8,5.1,versicolor
6.0,3.4,4.5,1.6,5.8,4.5,5.1,3.3,4.1,4.4,3.0,4.6,versicolor
6.7,3.1,4.7,1.5,6.3,3.7,5.6,4.2,4.9,7.0,2.0,4.5,versicolor
6.3,2.3,4.4,1.3,6.2,2.6,7.6,3.3,5.8,4.9,2.6,5.0,versicolor
5.6,3.0,4.1,1.3,6.5,0.1,5.3,4.5,4.8,4.6,1.2,4.5,versicolor
5.5,2.5,4.0,1.3,5.7,1.0,2.2,3.6,4.1,6.3,3.5,4.7,versicolor
5.5,2.6,4.4,1.2,5.4,4.4,5.1,3.3,4.7,4.3,3.7,3.8,versicolor
6.1,3.0,4.6,1.4,5.7,1.7,8.7,2.9,5.5,4.4,6.2,5.5,versicolor
5.8,2.6,4.0,1.2,4.1,1.8,6.3,3.9,5.1,5.1,2.2,3.8,versicolor
5.0,2.3,3.3,1.0,4.3,2.5,4.1,4.4,4.5,5.1,2.6,4.3,versicolor
5.6,2.7,4.2,1.3,4.4,1.3,6.0,4.0,4.6,5.4,2.2,4.6,versicolor
5.7,3.0,4.2,1.2,4.8,1.1,4.2,5.3,4.6,7.5,3.2,6.0,versicolor
5.7,2.9,4.2,1.3,6.2,2.6,3.4,4.7,5.1,5.5,3.5,4.3,versicolor
6.2,2.9,4.3,1.3,4.9,1.5,4.7,3.6,5.5,2.4,2.9,4.1,versicolor
5.1,2.5,3.0,1.1,5.4,1.7,5.3,3.6,5.4,5.5,4.4,4.2,versicolor
5.7,2.8,4.1,1.3,7.1,1.7,2.8,4.1,5.1,5.2,2.2,5.8,versicolor
6.3,3.3,6.0,2.5,5.4,3.4,3.7,3.2,4.3,5.2,4.3,2.6,virginica
5.8,2.7,5.1,1.9,6.5,2.4,5.2,4.6,4.3,5.4,3.7,3.9,virginica
7.1,3.0,5.9,2.1,4.8,2.5,4.7,4.0,5.1,5.1,3.0,6.5,virginica
6.3,2.9,5.6,1.8,5.6,3.5,5.7,3.9,4.3,5.1,2.6,5.0,virginica
6.5,3.0,5.8,2.2,4.8,2.5,3.6,4.2,4.8,5.8,6.1,3.8,virginica
7.6,3.0,6.6,2.1,5.4,2.3,6.1,4.9,5.0,4.5,1.9,4.5,virginica
4.9,2.5,4.5,1.7,6.6,3.3,3.6,3.9,4.4,4.0,3.4,4.6,virginica
7.3,2.9,6.3,1.8,4.0,3.6,7.3,3.7,4.4,8.5,2.0,5.2,virginica
6.7,2.5,5.8,1.8,6.2,2.5,3.0,4.8,4.9,4.3,5.3,5.9,virginica
7.2,3.6,6.1,2.5,6.0,2.8,3.8,4.4,5.1,5.2,4.1,4.9,virginica
6.5,3.2,5.1,2.0,5.2,1.7,5.7,3.6,5.4,3.4,2.1,4.2,virginica
6.4,2.7,5.3,1.9,4.3,1.6,7.3,3.8,5.2,5.2,3.6,5.1,virginica
6.8,3.0,5.5,2.1,5.9,3.7,5.6,3.9,4.9,4.1,3.3,4.1,virginica
5.7,2.5,5.0,2.0,5.3,3.3,5.9,4.0,4.6,4.6,2.3,3.8,virginica
5.8,2.8,5.1,2.4,6.0,3.3,5.2,2.9,4.4,6.3,4.0,3.3,virginica
6.4,3.2,5.3,2.3,5.8,3.1,3.9,2.7,4.7,5.6,3.5,3.5,virginica
6.5,3.0,5.5,1.8,7.4,2.8,4.5,3.2,5.1,5.8,3.2,3.9,virginica
7.7,3.8,6.7,2.2,5.6,3.6,3.6,3.1,5.0,3.1,2.9,3.7,virginica
7.7,2.6,6.9,2.3,4.8,3.9,3.5,3.3,4.0,7.2,3.5,4.8,virginica
6.0,2.2,5.0,1.5,6.0,3.9,5.7,4.2,4.5,3.8,3.3,3.7,virginica
6.9,3.2,5.7,2.3,6.0,2.6,3.7,3.7,5.4,6.8,3.0,2.3,virginica
5.6,2.8,4.9,2.0,7.2,4.5,5.6,3.9,4.9,6.3,2.1,3.8,virginica
7.7,2.8,6.7,2.0,6.6,3.0,3.5,3.0,4.3,5.8,5.2,4.2,virginica
6.3,2.7,4.9,1.8,6.2,3.5,5.6,3.5,5.9,4.2,1.6,4.1,virginica
6.7,3.3,5.7,2.1,7.3,3.1,4.5,4.2,4.9,5.3,3.5,5.7,virginica
7.2,3.2,6.0,1.8,4.6,3.0,7.0,4.2,5.1,4.6,2.5,4.1,virginica
6.2,2.8,4.8,1.8,5.1,1.7,5.6,3.3,5.1,5.1,5.3,5.2,virginica
6.1,3.0,4.9,1.8,4.9,3.6,6.8,3.9,4.7,4.8,1.8,4.6,virginica
6.4,2.8,5.6,2.1,5.4,6.5,4.2,5.3,4.6,2.8,2.0,4.5,virginica
7.2,3.0,5.8,1.6,4.4,2.2,5.3,3.8,5.8,6.4,1.7,4.0,virginica
7.4,2.8,6.1,1.9,6.4,2.8,3.9,3.3,5.3,5.0,3.4,4.5,virginica
7.9,3.8,6.4,2.0,5.6,2.1,4.6,3.7,5.3,4.6,1.2,4.0,virginica
6.4,2.8,5.6,2.2,4.3,2.1,4.8,3.8,5.2,4.5,2.3,4.7,virginica
6.3,2.8,5.1,1.5,4.8,4.8,4.2,3.7,4.5,5.5,0.2,4.4,virginica
6.1,2.6,5.6,1.4,6.1,1.8,3.6,3.8,5.5,4.1,3.3,3.9,virginica
7.7,3.0,6.1,2.3,6.6,2.1,3.3,2.8,4.5,2.6,2.3,5.3,virginica
6.3,3.4,5.6,2.4,7.8,0.6,2.1,3.1,5.0,5.6,1.0,4.9,virginica
6.4,3.1,5.5,1.8,8.8,1.7,3.8,3.7,4.2,5.7,4.4,4.3,virginica
6.0,3.0,4.8,1.8,6.2,0.4,6.0,3.7,4.0,4.9,1.3,4.7,virginica
6.9,3.1,5.4,2.1,4.8,3.5,3.1,3.4,5.0,3.8,4.0,4.5,virginica
6.7,3.1,5.6,2.4,3.6,6.4,3.4,3.7,4.5,5.2,2.1,4.0,virginica
6.9,3.1,5.1,2.3,6.1,2.2,7.5,3.8,4.0,3.5,5.1,4.6,virginica
5.8,2.7,5.1,1.9,5.0,0.5,4.4,4.4,5.1,4.0,3.9,4.1,virginica
6.8,3.2,5.9,2.3,5.4,3.9,5.6,3.7,5.8,4.3,1.7,3.9,virginica
6.7,3.3,5.7,2.5,5.2,1.7,6.0,4.0,5.5,6.1,1.8,3.4,virginica
6.7,3.0,5.2,2.3,5.7,4.4,6.0,3.4,4.8,4.7,3.8,4.3,virginica
6.3,2.5,5.0,1.9,6.9,2.3,3.2,4.2,4.9,4.6,2.6,5.0,virginica
6.5,3.0,5.2,2.0,6.0,1.9,4.9,4.0,5.3,7.3,2.7,4.1,virginica
6.2,3.4,5.4,2.3,5.6,2.5,3.1,4.4,5.4,5.5,4.6,6.4,virginica
5.9,3.0,5.1,1.8,4.7,3.7,8.4,4.3,4.7,5.5,2.0,5.2,virginica
